Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	LossMu	DeltaLossMu	AverageViolation	StdViolation	MaxViolation	MinViolation	AverageMultiplier	StdMultiplier	MaxMultiplier	MinMultiplier	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
31	4.9050865	3.73938	10.48911	-3.1933722	15.25623	15.055095	52.5162	1.0104295	1000.0	2176.681	0.008502659797668457	0.43070966	0.48453292	1.6739928	-1.6930089	0.47783583	0.82238346	8.670628	-0.3263352	-0.011011651	-0.029748524	0.07440573	-0.0018639416	-0.022475319	0.63834316	7.6706276	-0.2	3.219018	0.7478146	4.1901007	0.885417	0.18116343	-0.03284435	5.6185956	-1.8789392	-0.011011639	-0.03356386	17.0	1.6838174	0.011904494	256000	560.2567486763
32	3.289941	2.5082808	6.7679667	-0.39055917	5.384589	7.1696	20.05922	0.0	1000.0	2219.7578	0.00840817353219697	0.42833456	0.565155	1.6604416	-1.7982229	1.0917703	1.3800068	13.483641	0.13592713	-0.0035938811	-0.01120279	-0.7322794	0.002209127	0.2403043	1.325144	12.483641	-0.2	3.1405156	0.74082667	4.0200157	0.8431412	0.123578265	-0.0374899	1.3394198	-0.7130683	-0.0035938853	-0.013945249	8.0	1.6823287	0.016619967	264000	577.2437059879303
33	3.704171	3.2692037	9.268582	-2.0003352	7.1925755	8.525207	22.635633	0.0	1000.0	2277.2983	0.00837242036707261	0.34173355	0.42937297	1.535745	-1.3197169	0.845117	1.4209634	9.834303	-0.37832806	0.021141695	-0.008962167	-0.844497	-0.0019761324	0.28512478	1.2243022	8.834303	-0.2	3.1712449	0.7301905	4.0588403	0.85930157	0.16778597	-0.038085386	2.515052	-0.61776257	0.02114169	-0.010807423	3.0	1.68113	0.012967568	272000	594.3584415912628
34	2.1444607	3.0295568	8.415313	-0.87214875	5.1830606	6.5116215	15.686904	0.0	1000.0	2318.763	0.00828129621233259	0.27443266	0.5035048	2.2517836	-1.3750585	0.5995731	0.56720555	6.245099	-0.10172729	0.012420179	-0.024119198	0.24205169	-0.002792582	-0.074807264	0.44471088	5.245099	-0.2	3.1970034	0.7290364	4.0739865	0.8743727	0.1989874	-0.067053124	0.9362842	-0.20390666	0.012420171	-0.025314797	42.0	1.6804312	0.012839817	280000	611.9474589824677
35	5.2196054	2.868401	11.786972	1.5993617	9.114888	10.624044	30.800636	0.0	1000.0	2391.682	0.008304450988769531	0.3659021	0.5118087	2.0583994	-1.7202585	0.46830988	1.1581148	11.312932	-0.5755346	0.005261898	-0.0071630105	-0.08190515	6.712973e-06	0.02034188	1.0038143	10.312932	-0.2	3.1464937	0.7232905	3.987764	0.8394618	0.24036658	-0.052228868	3.863298	-2.2520194	0.005261899	-0.010529621	3.0	1.6953213	0.010479218	288000	629.31303191185
36	4.556469	3.1762457	9.444606	-1.9258649	6.8307056	5.058299	13.991457	0.0	1000.0	2446.3276	0.008264620394320101	0.54924774	0.49510658	1.747972	-1.630596	1.2094934	1.8462672	13.300389	-1.016095	0.032391544	-0.008705167	-1.7336055	-0.0015375614	0.56720495	1.6506901	12.300389	-0.2	3.174105	0.71351707	3.9811532	0.83109426	0.19694187	-0.043634146	2.2742836	-1.4357709	0.032391556	-0.018276453	2.0	1.6968081	0.022203023	296000	646.3993937969208
37	5.6055803	3.4031706	10.447598	-0.53489274	2.4651144	3.0953596	9.0154085	0.0	1000.0	2466.0486	0.008112001921001234	0.47230816	0.544444	1.8979712	-2.2142122	0.40604138	0.82102615	9.032398	-0.43322968	-0.0049680094	-0.003273156	0.19704767	-8.031726e-05	-0.057303946	0.673493	8.032398	-0.2	3.1716673	0.7026967	3.9410455	0.8490702	0.17304157	-0.06144344	0.430363	-0.13776624	-0.0049680024	-0.0023289374	3.0	1.6978705	0.006456801	304000	663.2161114215851
38	8.293848	3.6154926	14.311451	0.88913697	5.830057	5.230092	13.030764	0.0	1000.0	2512.689	0.008053490271935096	0.70065784	0.65065956	1.8351718	-1.5690808	0.3948176	0.60429686	6.120114	-0.24903801	-0.0025024966	-0.005652991	0.3069424	-0.0002848208	-0.09645024	0.44960555	5.120114	-0.2	3.1426368	0.72602206	3.9817643	0.84041476	0.3251768	-0.07881586	0.70291114	-0.13351148	-0.0025025078	-0.0018893403	4.0	1.6987592	0.00809091	312000	680.297590970993
39	5.507779	2.470125	7.034572	-0.8180141	5.44254	4.4762993	14.059213	0.0	1000.0	2556.2292	0.007988216400146485	0.6118236	0.6126419	1.9450723	-1.6046546	0.5076435	0.66854036	7.647326	-0.054388322	0.007696841	-0.025406161	0.23010239	-0.005365446	-0.0668409	0.52022195	6.647326	-0.2	3.1681738	0.71429163	3.953419	0.82762474	0.2425322	-0.04595287	0.9552876	-0.09488815	0.0076968344	-0.023517478	39.0	1.6994228	0.012971767	320000	697.8303980827332
40	3.434464	3.284903	9.513909	-1.3501922	6.0963335	9.685664	29.179134	0.0	1000.0	2605.0	0.007942073170731707	0.49128506	0.5179361	1.7588326	-1.2450958	0.6016707	0.83627564	8.6121645	-0.06456143	0.0046184803	-0.027845914	0.078330435	-0.0076990128	-0.018732578	0.7061367	7.6121645	-0.2	3.161124	0.6740149	3.883614	0.8373306	0.18756601	-0.055507526	1.8453225	-0.67459273	0.004618465	-0.024717506	79.0	1.6814144	0.0111431675	328000	716.4764211177826
